car,price,body,mileage,engV,engType,registration,year,model,drive
Volvo,2000,sedan,300,2.0,Petrol,yes,1986,240,rear
Hyundai,12900,crossover,49,2.7,Petrol,yes,2008,Tucson,full
Mercedes-Benz,9500,van,248,2.2,Diesel,yes,2005,Vito ����.,rear
Mitsubishi,9000,sedan,78,2.4,Gas,yes,2006,Galant,front
Toyota,11999,sedan,147,2.4,Petrol,yes,2010,Camry,front
Mitsubishi,16900,other,120,3.0,Petrol,yes,2008,Pajero Wagon,full
Volkswagen,4900,sedan,350,2.0,Gas,yes,2000,Bora,front
Ford,29900,crossover,68,2.0,Diesel,yes,2015,Kuga,full
Volkswagen,13999,van,175,2.0,Diesel,yes,2012,T5 (Transporter) ����,front
Volkswagen,12800,vagon,167,1.6,Diesel,yes,2011,Golf Variant,front
Lexus,50500,crossover,9,2.0,Petrol,yes,2016,NX 200,full
Mercedes-Benz,28500,crossover,210,3.2,Diesel,yes,2007,GL 320,full
Lexus,23999,crossover,270,4.7,Gas,yes,2005,LX 470,full
Toyota,16800,crossover,154,2.7,Petrol,yes,2005,Land Cruiser Prado,full
Daewoo,5000,sedan,37,1.5,Petrol,yes,2009,Lanos,
Mercedes-Benz,17977,van,322,3.0,Diesel,yes,2007,Sprinter 318 ����.,rear
Opel,9600,van,184,2.0,Diesel,yes,2012,Vivaro ����.,front
Mitsubishi,15700,other,68,1.8,Petrol,yes,2011,ASX,front
Skoda,6000,hatch,145,1.2,Gas,yes,2008,Fabia,front
Renault,11700,van,150,2.3,Diesel,yes,2012,Master ����.,front
Mercedes-Benz,8000,crossover,314,99.99,Gas,yes,2000,ML 320,full
BMW,6500,sedan,335,2.8,Petrol,yes,1996,528,rear
Suzuki,14000,crossover,81,2.4,Petrol,yes,2009,Grand Vitara,full
Seat,5900,hatch,157,1.4,Petrol,yes,2006,Ibiza,front
TATA,12900,other,75,2.2,Diesel,yes,2013,Xenon,full
ZAZ,1550,sedan,186,1.2,Petrol,yes,2004,1103 �������,front
Audi,14200,vagon,200,2.7,Diesel,yes,2006,A6,front
Toyota,13700,sedan,48,1.4,Diesel,yes,2013,Corolla,front
Hyundai,27000,crossover,0,2.0,Petrol,yes,2016,Tucson,full
Porsche,63500,crossover,4,3.0,Petrol,yes,2015,Macan,full
Peugeot,8999,van,200,1.6,Diesel,yes,2007,Expert ����.,front
VAZ,2800,sedan,167,1.5,Petrol,yes,2002,2115,front
Ford,2400,hatch,276,2.0,Petrol,yes,1990,Scorpio,rear
Renault,4200,van,142,1.9,Diesel,yes,2007,Kangoo ����.,front
Mercedes-Benz,31990,crossover,95,4.7,Petrol,yes,2010,GL 450,full
Ford,8200,van,123,1.8,Diesel,yes,2008,C-Max,front
Ford,3400,van,250,2.5,Diesel,yes,1999,Transit ����.,rear
Mazda,12899,crossover,112,,Gas,yes,2008,CX-7,front
Citroen,3300,van,300,1.9,Diesel,yes,2002,Berlingo ����.,front
Fiat,7500,van,168,1.3,Diesel,yes,2011,Doblo ����.,front
Volkswagen,27000,sedan,57,2.0,Diesel,yes,2013,Passat B7,front
Ford,10300,van,160,2.2,Diesel,yes,2013,Transit ����.,front
Fiat,1950,hatch,215,1.4,Petrol,yes,1991,Tipo,
Mercedes-Benz,8700,van,290,2.2,Diesel,yes,2005,Vito ����.,rear
Mercedes-Benz,50800,crossover,30,3.5,Diesel,yes,2013,ML 350,full
Hyundai,5300,other,186,1.3,Petrol,yes,2005,Getz,front
Opel,4300,sedan,1,2.0,Gas,yes,1995,Omega,rear
Mercedes-Benz,6100,sedan,300,3.2,Diesel,no,2004,E-Class,rear
Audi,25000,other,60,2.0,Petrol,yes,2011,A5,full
Mercedes-Benz,40500,sedan,108,5.5,Petrol,yes,2010,S 500,full
Chevrolet,5499,sedan,1,1.6,Gas,yes,2007,Aveo,front
Nissan,10500,crossover,91,1.6,Gas,yes,2007,Qashqai,
Subaru,8500,crossover,139,2.0,Other,yes,2006,Forester,full
BMW,8900,other,253,1.8,Petrol,yes,1995,318,rear
Mitsubishi,16999,crossover,107,3.0,Gas,yes,2008,Pajero Wagon,full
Opel,2500,hatch,211,1.8,Petrol,yes,1994,Vectra A,front
Mercedes-Benz,81500,sedan,1,3.0,Diesel,yes,2016,GLE-Class,full
Honda,16300,crossover,80,2.0,Petrol,yes,2009,CR-V,full
Renault,13200,van,230,2.0,Diesel,yes,2009,Trafic ����.,front
Land Rover,109999,crossover,0,3.0,Diesel,yes,2016,Range Rover Sport,full
Volkswagen,2850,sedan,350,2.0,Petrol,yes,1990,Passat B3,front
BMW,8000,sedan,330,,Diesel,yes,1997,525,rear
Nissan,12000,crossover,148,2.4,Petrol,yes,2004,Terrano,full
Audi,38500,vagon,75,2.0,Diesel,yes,2013,Q3,full
Honda,8900,sedan,178,1.8,Petrol,yes,2008,Civic,front
Mercedes-Benz,4300,sedan,280,1.8,Petrol,yes,1993,C-Class,rear
Audi,3500,vagon,250,2.5,Diesel,no,1998,A6,front
Kia,6300,sedan,138,1.6,Petrol,yes,2006,Cerato,
Toyota,18800,sedan,47,2.4,Petrol,yes,2009,Camry,front
Nissan,16200,hatch,35,,Other,yes,2015,Leaf,front
Toyota,26500,crossover,102,2.5,Diesel,yes,2013,Hilux,full
Nissan,37900,crossover,67,5.6,Petrol,yes,2011,Patrol,full
Renault,8999,vagon,100,1.5,Diesel,yes,2009,Kangoo ����.,front
Daewoo,4200,sedan,84,1.5,Petrol,yes,2004,Lanos,front
BMW,14200,sedan,135,3.0,Gas,yes,2004,530,
Nissan,15500,hatch,41,,Other,yes,2014,Leaf,full
Volkswagen,8899,vagon,198,1.9,Other,yes,2004,Passat B5,front
BMW,42000,sedan,5,2.0,Petrol,yes,2016,520,rear
Renault,4100,other,270,1.2,Gas,yes,1999,Kangoo ����.,front
Mitsubishi,10400,sedan,123,2.0,Petrol,yes,2009,Lancer X,front
Nissan,13999,sedan,121,3.5,Petrol,yes,2010,Teana,front
Audi,9900,vagon,284,2.5,Diesel,yes,2004,A6,full
Nissan,18000,hatch,45,,Other,yes,2013,Leaf,front
BMW,70000,sedan,16,3.0,Diesel,yes,2014,730,full
Toyota,14300,hatch,60,1.6,Petrol,yes,2013,Auris,front
Ford,9200,hatch,122,1.8,Diesel,yes,2008,Focus,front
Citroen,13900,hatch,57,1.6,Gas,yes,2012,DS4,front
VAZ,1999,crossover,150,1.6,Gas,yes,1986,2121,full
Mazda,2900,hatch,245,,Petrol,yes,1996,323,front
BMW,34900,crossover,110,4.4,Petrol,yes,2010,X6,full
Toyota,15300,other,116,2.4,Petrol,yes,2009,Camry,front
Kia,22500,crossover,70,2.0,Diesel,yes,2013,Sportage,full
Audi,4400,sedan,190,2.5,Diesel,no,2003,A6,front
VAZ,2999,vagon,135,1.6,Petrol,yes,2006,2111,front
Kia,6700,hatch,95,1.4,Petrol,yes,2008,Rio,front
VAZ,3050,hatch,107,1.6,Petrol,yes,2008,2113,front
Volkswagen,21500,sedan,2,1.6,Diesel,yes,2016,Jetta,front
Mercedes-Benz,10250,sedan,261,1.8,Petrol,yes,2003,E-Class,rear
BMW,38000,sedan,61,,Petrol,yes,2013,535,rear
Skoda,13100,sedan,93,1.8,Petrol,yes,2010,Octavia A5,front
Mazda,19900,sedan,6,1.5,Petrol,yes,2014,3,full
Nissan,3600,van,390,2.3,Diesel,yes,1996,Vanette ����.,
Audi,29999,other,90,3.0,Petrol,yes,2011,A5,full
Opel,10500,crossover,31,2.4,Petrol,yes,2013,Antara,full
Honda,11900,hatch,88,1.8,Petrol,yes,2009,Civic,front
Volkswagen,2600,other,296,1.9,Diesel,no,2000,Golf IV,front
Chevrolet,4950,sedan,127,1.5,Petrol,yes,2008,Aveo,front
Kia,4700,sedan,190,2.0,Petrol,yes,2002,Magentis,front
VAZ,2100,sedan,85,,Other,yes,2016,2103,
Toyota,11950,hatch,120,1.4,Petrol,yes,2013,Auris,front
Ford,7300,sedan,146,1.6,Gas,yes,2006,Focus,front
Mitsubishi,17800,crossover,111,2.4,Petrol,yes,2011,Outlander XL,full
Honda,7500,other,165,2.4,Petrol,yes,2005,Accord,front
Mitsubishi,19400,crossover,78,,Petrol,yes,2012,Outlander XL,full
Hyundai,7499,crossover,100,,Gas,no,2011,IX35,full
Audi,29602,sedan,1,1.4,Petrol,yes,2016,A4,front
Audi,10200,sedan,120,2.0,Petrol,yes,2006,A4,front
VAZ,4800,sedan,7,1.6,Gas,yes,2013,2115,front
Mazda,8500,sedan,135,2.3,Petrol,yes,2008,6 MPS,full
Daewoo,3499,hatch,104,0.8,Petrol,yes,2008,Matiz,front
Ford,4900,hatch,157,1.25,Gas,yes,2007,Fiesta,front
Opel,11900,van,111,2.0,Diesel,yes,2013,Vivaro ����.,front
Volkswagen,5000,hatch,190,,Petrol,yes,1998,Golf IV,front
Hyundai,6300,sedan,76,,Petrol,yes,2010,Accent,front
Ford,2200,sedan,500,2.0,Gas,yes,1993,Scorpio,rear
Renault,10200,other,39,1.5,Diesel,yes,2014,Kangoo ����.,front
Mitsubishi,5900,hatch,92,1.6,Petrol,yes,2003,Carisma,front
Land Rover,106000,crossover,9,5.0,Petrol,yes,2013,Range Rover,full
Volkswagen,10800,sedan,100,1.8,Petrol,yes,2008,Passat B6,front
Skoda,5300,vagon,200,1.2,Gas,yes,2006,Fabia,front
Ford,19000,sedan,21,2.0,Petrol,yes,2012,Mondeo,front
Daewoo,4650,sedan,8,1.3,Petrol,yes,2012,Sens,
Chevrolet,4700,vagon,163,1.6,Petrol,yes,2005,Tacuma,
Ford,17900,hatch,43,,Other,yes,2013,Focus,front
Opel,1150,vagon,232,1.8,Gas,no,1999,Vectra B,front
Toyota,15700,crossover,195,4.0,Gas,yes,2003,Land Cruiser Prado,full
VAZ,1250,sedan,10,1.5,Petrol,yes,1989,2107,rear
Volkswagen,9000,sedan,59,2.0,Petrol,no,2010,Passat B6,front
Audi,14900,sedan,203,2.8,Petrol,yes,2008,A6,full
Audi,30900,vagon,118,2.0,Petrol,yes,2013,A4 Allroad,full
Nissan,11999,crossover,207,3.5,Petrol,yes,2006,Murano,full
Fiat,5000,other,290,1.9,Diesel,yes,2003,Doblo ����.,front
Hyundai,15246,sedan,1,1.6,Petrol,yes,2016,Elantra,front
Volkswagen,3500,hatch,201,1.9,Diesel,no,2002,Golf IV,front
Opel,7700,van,280,1.9,Diesel,yes,2003,Vivaro ����.,front
Chevrolet,5500,hatch,157,1.5,Petrol,yes,2008,Aveo,front
Nissan,5200,hatch,126,1.2,Petrol,yes,2004,Micra,front
Audi,21800,vagon,172,2.0,Diesel,yes,2011,A4,front
Nissan,6900,hatch,140,1.6,Petrol,yes,2007,TIIDA,front
Nissan,16300,crossover,32,1.6,Petrol,yes,2012,Juke,front
Fiat,9800,van,185,2.0,Diesel,yes,2009,Scudo ����.,front
Ford,28999,sedan,2,2.5,Petrol,yes,2015,Mondeo,front
Audi,23000,crossover,180,3.6,Gas,yes,2007,Q7,full
Mitsubishi,5999,hatch,108,1.3,Petrol,yes,2006,Colt,front
Opel,6999,sedan,158,2.2,Petrol,yes,2004,Vectra C,front
Nissan,2700,sedan,227,2.5,Petrol,yes,1996,Cefiro,front
Hyundai,30900,crossover,0,2.0,Petrol,yes,2016,Tucson,full
Kia,20500,crossover,98,2.0,Petrol,yes,2011,Sportage,full
Opel,9300,sedan,164,2.2,Gas,yes,2008,Vectra C,front
Mitsubishi,16000,vagon,174,3.2,Diesel,yes,2006,Pajero Wagon,full
Mercedes-Benz,9000,crossover,220,3.2,Gas,yes,1999,ML 320,full
Daewoo,3450,sedan,134,0.8,Petrol,yes,2008,Matiz,front
Honda,12200,hatch,82,1.8,Petrol,yes,2009,Civic,front
VAZ,703,sedan,30,1.3,Petrol,yes,1986,2106,rear
Jaguar,47794,sedan,2,2.0,Diesel,yes,2015,XF,rear
Peugeot,12000,hatch,23,1.6,Petrol,yes,2012,207,front
BMW,72900,crossover,16,3.0,Diesel,yes,2015,X6,full
Audi,30650,vagon,35,2.0,Petrol,yes,2013,A4 Allroad,full
Hyundai,20300,crossover,55,2.0,Diesel,yes,2012,IX35,full
Land Rover,89000,crossover,80,5.0,Petrol,yes,2013,Range Rover,full
Skoda,12226,crossover,83,1.2,Petrol,yes,2012,Yeti,front
Chery,4075,vagon,290,2.4,Petrol,yes,2008,CrossEastar,front
Lexus,12600,crossover,225,3.0,Petrol,yes,2003,RX 300,full
Suzuki,8200,crossover,50,1.3,Petrol,yes,1990,Samurai,full
Fiat,8999,hatch,94,1.4,Petrol,yes,2011,Grande Punto,front
Audi,9000,vagon,199,2.7,Petrol,yes,2003,A6 Allroad,full
VAZ,3400,other,133,,Petrol,yes,2007,2115,front
Opel,7400,vagon,230,1.3,Diesel,yes,2006,Astra H,front
Audi,2411,sedan,240,1.6,Other,yes,1987,80,front
Volkswagen,17200,crossover,220,2.5,Diesel,yes,2006,Touareg,full
Volkswagen,21000,vagon,58,2.0,Diesel,yes,2013,Passat B7,front
BMW,18000,sedan,180,2.0,Other,no,2011,520,rear
Peugeot,5300,vagon,215,1.6,Petrol,yes,2005,307,front
Toyota,2600,sedan,218,2.2,Petrol,yes,1994,Camry,front
Toyota,8700,sedan,131,1.6,Gas,yes,2007,Corolla,front
Peugeot,7250,hatch,153,2.0,Gas,yes,2005,307,front
BMW,13500,sedan,138,2.5,Petrol,yes,2004,525,rear
VAZ,8800,crossover,96,1.7,Petrol,yes,2011,2121,full
Mercedes-Benz,13600,van,199,2.2,Diesel,yes,2009,Vito ����.,rear
BMW,6500,sedan,311,2.0,Gas,yes,1998,520,rear
BMW,6400,other,220,2.5,Petrol,yes,1997,323,rear
Audi,15900,hatch,160,1.4,Petrol,yes,2011,A3,front
Audi,13900,other,197,2.0,Diesel,yes,2006,A6,front
BMW,18000,crossover,280,3.0,Diesel,yes,2005,X5,full
Renault,6800,van,185,1.6,Other,yes,2006,Kangoo ����.,front
Mercedes-Benz,15200,sedan,170,2.8,Gas,yes,2007,E-Class,full
Ford,9950,hatch,97,1.6,Diesel,yes,2011,Focus,front
Volkswagen,24300,sedan,1,1.6,Diesel,yes,2016,Jetta,front
Daewoo,3500,sedan,112,,Petrol,yes,2007,Lanos,front
Mercedes-Benz,35500,sedan,100,3.5,Petrol,yes,2010,S 350,full
Ford,19300,crossover,61,2.0,Diesel,yes,2012,Kuga,full
Mazda,26500,sedan,26,2.5,Petrol,yes,2014,6,front
Mercedes-Benz,37500,other,94,5.5,Petrol,yes,2009,CL 55 AMG,rear
Volkswagen,12500,vagon,195,1.6,Diesel,yes,2013,Golf VI,front
Ford,13000,other,200,4.6,Gas,yes,1994,Mustang GT,rear
Mercedes-Benz,2499,hatch,201,1.7,Diesel,no,2001,A 170,front
VAZ,2450,sedan,15,1.5,Petrol,yes,2005,2107,rear
Renault,5899,vagon,189,,Diesel,no,2012,Megane,front
BMW,3900,vagon,240,3.0,Diesel,no,2001,530,rear
Mitsubishi,10500,sedan,57,1.5,Gas,yes,2011,Lancer X,front
Kia,22000,crossover,29,2.0,Gas,yes,2013,Sportage,full
Kia,6200,sedan,94,2.0,Gas,yes,2006,Cerato,front
Mazda,10800,van,80,2.0,Petrol,yes,2008,5,front
Volkswagen,3500,vagon,215,2.0,Petrol,yes,1993,Passat B3,front
BMW,32500,other,86,3.0,Petrol,yes,2010,5 Series GT,rear
Peugeot,5800,vagon,86,2.0,Diesel,yes,2003,Partner ����.,front
Audi,2000,sedan,360,1.6,Other,no,1996,A4,
Volkswagen,12500,other,160,2.5,Other,yes,2006,T5 (Transporter) ����.,front
VAZ,2800,hatch,200,1.6,Petrol,yes,2005,2112,front
Hyundai,7150,sedan,60,1.4,Petrol,yes,2010,Accent,front
Volkswagen,5999,van,300,1.8,Gas,yes,1999,Sharan,front
Renault,9450,vagon,215,1.5,Diesel,yes,2008,Laguna,front
Renault,10900,vagon,180,1.5,Diesel,yes,2012,Megane,front
Volkswagen,10600,van,120,2.0,Diesel,yes,2007,Touran,front
Volvo,20999,crossover,165,3.0,Petrol,yes,2008,XC60,full
Peugeot,5850,van,170,1.6,Diesel,yes,2007,Partner ����.,front
Toyota,5000,crossover,289,2.0,Diesel,no,2003,Rav 4,full
Chevrolet,8500,sedan,67,1.5,Gas,yes,2011,Aveo,front
Renault,8700,vagon,123,1.5,Diesel,yes,2009,Megane,front
Peugeot,17895,hatch,0,1.6,Diesel,yes,2016,308,front
SsangYong,15900,crossover,42,2.0,Diesel,yes,2014,Korando,front
Hyundai,6400,sedan,113,1.4,Petrol,yes,2007,Accent,front
BMW,21700,crossover,125,3.0,Petrol,yes,2007,X5,full
Land Rover,81500,crossover,45,5.0,Petrol,yes,2013,Range Rover Sport,full
VAZ,1400,sedan,87,1.6,Petrol,yes,2002,2107,rear
Mitsubishi,21000,crossover,98,2.5,Diesel,yes,2011,Pajero Sport,full
Toyota,12500,crossover,201,2.0,Petrol,yes,2006,Rav 4,full
Mercedes-Benz,3700,sedan,270,3.5,Petrol,no,2004,S 350,rear
Toyota,16900,hatch,20,1.6,Petrol,yes,2014,Auris,front
Volkswagen,7700,sedan,220,2.8,Petrol,yes,2004,Passat B5,full
Kia,11111,sedan,107,2.0,Gas,yes,2008,Magentis,front
Fiat,7200,other,117,1.3,Diesel,yes,2011,Doblo ����.,front
Nissan,14500,other,187,2.5,Diesel,yes,2008,Navara,full
Fiat,7700,sedan,82,1.4,Petrol,yes,2009,Linea,front
Mercedes-Benz,14800,crossover,242,2.7,Diesel,yes,2005,ML 270,full
Hyundai,9100,crossover,170,2.0,Petrol,yes,2007,Tucson,full
Ford,6900,van,215,2.0,Diesel,yes,2005,Transit ����.,front
Ford,8800,hatch,16,1.25,Petrol,yes,2014,Fiesta,
Land Rover,27500,other,174,3.6,Diesel,yes,2008,Range Rover,full
Ford,1099,other,333,1.6,Petrol,yes,1987,Sierra,rear
Dacia,5400,sedan,105,1.4,Petrol,yes,2009,Logan,front
Skoda,5550,hatch,147,1.2,Petrol,yes,2008,Fabia,front
Opel,4000,vagon,320,1.9,Diesel,no,2005,Vectra C,front
Nissan,17700,crossover,40,1.6,Petrol,yes,2014,Qashqai,
Opel,6900,sedan,156,2.2,Petrol,yes,2004,Vectra C,front
Audi,31700,sedan,32,1.8,Petrol,yes,2014,A4,front
Bentley,85000,other,20,6.0,Petrol,yes,2008,Continental,full
Hyundai,12700,vagon,90,2.0,Petrol,yes,2012,Tucson,full
Opel,2300,hatch,200,1.8,Gas,no,2000,Vectra B,front
Nissan,7200,sedan,56,3.0,Other,yes,1998,Gloria,rear
Volkswagen,3700,sedan,370,2.0,Gas,yes,1992,Passat B3,front
Renault,10500,vagon,185,1.5,Diesel,yes,2011,Megane,front
VAZ,670,sedan,5,1.5,Petrol,yes,1987,2105,rear
Nissan,9000,crossover,365,3.3,Gas,yes,1999,Pathfinder,full
Skoda,21300,sedan,2,1.4,Petrol,yes,2016,Octavia A7,front
Renault,10000,vagon,234,2.0,Diesel,yes,2008,Laguna,front
Nissan,7400,sedan,142,1.6,Gas,yes,2010,Almera,front
Citroen,13800,hatch,94,1.6,Diesel,yes,2013,C4,front
Renault,2999,van,245,1.5,Diesel,yes,2003,Kangoo ����.,front
BMW,3600,sedan,221,3.0,Diesel,no,2002,530,rear
Audi,6600,sedan,360,1.8,Petrol,yes,1998,A6,front
Alfa Romeo,12000,sedan,150,2.2,Petrol,yes,2008,159,front
Skoda,9500,hatch,118,1.8,Petrol,yes,2009,Octavia,front
Mitsubishi,5500,crossover,1,2.0,Petrol,yes,1986,Pajero,full
Skoda,13750,vagon,155,1.6,Diesel,yes,2012,Octavia A5,
Geely,9000,hatch,52,1.8,Gas,yes,2014,Emgrand 7 (EC7),front
Hyundai,5800,sedan,110,,Other,yes,2007,Accent,
BMW,28500,crossover,160,4.8,Gas,yes,2008,X5,full
Mercedes-Benz,18800,other,90,1.8,Petrol,yes,2008,CLC 180,rear
Ford,10400,sedan,103,2.0,Gas,yes,2010,Focus,front
BMW,33000,sedan,60,,Petrol,yes,2012,328,rear
Hyundai,6500,hatch,108,1.4,Gas,yes,2007,Getz,front
Toyota,21800,crossover,170,4.0,Gas,yes,2006,Land Cruiser Prado,full
Mercedes-Benz,11500,van,180,2.2,Diesel,yes,2011,Vito ����.,rear
Lexus,43000,crossover,33,3.5,Petrol,yes,2013,RX 350,full
Citroen,2800,van,120,1.9,Diesel,yes,2004,Berlingo ����.,
Citroen,21900,hatch,41,2.0,Diesel,yes,2013,DS4,front
Mercedes-Benz,38200,sedan,39,1.6,Petrol,yes,2015,C-Class,rear
Hyundai,21433,crossover,1,2.0,Petrol,yes,2016,Tucson,front
BMW,28900,sedan,78,2.0,Petrol,yes,2012,528,rear
Opel,7500,hatch,120,1.6,Petrol,yes,2008,Astra H,front
Chevrolet,7000,vagon,117,1.7,Petrol,yes,2007,Niva,full
Hyundai,5900,van,141,1.6,Petrol,yes,2005,Matrix,front
Chery,2800,hatch,76,1.1,Petrol,yes,2007,QQ,front
Renault,4700,hatch,124,1.5,Diesel,yes,2003,Kangoo ����.,front
Volkswagen,8650,van,108,1.6,Diesel,yes,2013,Caddy ����.,front
Skoda,9025,vagon,137,1.2,Diesel,yes,2011,Fabia,front
BMW,6800,sedan,230,2.0,Petrol,yes,1998,520,rear
Mercedes-Benz,39900,crossover,126,5.5,Petrol,yes,2010,GL 500,full
Mercedes-Benz,20900,other,250,3.2,Diesel,yes,2007,ML 320,full
Renault,3100,vagon,150,1.9,Diesel,no,2003,Laguna,front
Mercedes-Benz,43500,sedan,59,4.6,Petrol,yes,2011,S 500,full
Volkswagen,23300,sedan,115,1.8,Petrol,yes,2012,Passat CC,
Chevrolet,10999,sedan,95,1.6,Petrol,yes,2012,Cruze,front
Opel,3800,sedan,335,1.6,Petrol,yes,1998,Vectra B,front
VAZ,3900,crossover,163,1.7,Petrol,yes,2002,2121,full
Audi,2600,sedan,160,2.5,Diesel,no,2002,A6,
Nissan,8900,crossover,100,2.0,Petrol,yes,2008,X-Trail,full
Renault,3800,van,196,1.9,Diesel,yes,1998,Kangoo ����.,front
Nissan,6800,other,93,1.6,Petrol,yes,2006,Note,front
Kia,7499,sedan,193,2.0,Petrol,yes,2007,Magentis,front
Mercedes-Benz,41900,sedan,95,6.3,Other,yes,2011,S 550,
Renault,17639,crossover,0,1.2,Petrol,yes,2016,Captur,front
VAZ,7100,crossover,42,1.7,Petrol,yes,2011,2121,full
Mitsubishi,20000,crossover,135,2.5,Diesel,yes,2011,Pajero Sport,full
Kia,8500,sedan,120,2.0,Other,yes,2007,Magentis,front
BMW,6300,sedan,241,2.8,Gas,yes,1995,328,rear
ZAZ,2300,sedan,75,1.2,Petrol,yes,2008,1103 �������,front
Mercedes-Benz,7700,sedan,390,3.0,Diesel,no,2007,E-Class,rear
Volkswagen,20350,vagon,111,2.0,Diesel,yes,2012,Passat B7,front
Mazda,9700,hatch,49,1.5,Petrol,yes,2009,2,front
Volkswagen,8900,sedan,185,1.6,Petrol,yes,2007,Jetta,front
BMW,11900,sedan,300,2.5,Gas,yes,2004,525,rear
Dodge,8350,sedan,180,2.4,Petrol,yes,2008,Avenger,front
Volkswagen,12700,van,75,1.2,Petrol,yes,2012,Caddy ����.,front
Skoda,8500,sedan,149,1.6,Gas,yes,2008,Octavia Tour,front
BMW,3350,vagon,295,2.0,Diesel,no,2002,320,rear
Chevrolet,5400,vagon,105,1.7,Petrol,yes,2004,Niva,full
Toyota,15300,crossover,130,2.0,Petrol,yes,2008,Rav 4,full
Toyota,10100,sedan,142,2.4,Petrol,yes,2007,Camry,front
BMW,14000,crossover,164,3.0,Diesel,no,2006,X5,full
Nissan,19764,hatch,0,1.6,Petrol,yes,2015,Juke,front
VAZ,4400,hatch,95,1.6,Petrol,yes,2008,2172,front
Nissan,26033,crossover,0,1.6,Diesel,yes,2016,X-Trail,full
Chevrolet,6700,hatch,62,1.5,Gas,yes,2009,Aveo,full
Mercedes-Benz,17800,van,145,2.2,Diesel,yes,2010,Vito ����.,rear
Lexus,17999,sedan,61,3.5,Petrol,yes,2009,GS 350,full
Volkswagen,8400,sedan,230,1.8,Gas,yes,2003,Passat B5,front
Infiniti,26300,crossover,120,,Other,yes,2009,FX 35,
Mercedes-Benz,71999,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
Mitsubishi,1600,vagon,185,1.3,Petrol,no,2000,Space Star,front
Mercedes-Benz,38900,crossover,65,4.5,Petrol,yes,2010,GL 450,full
Mitsubishi,5900,sedan,142,1.6,Gas,yes,2005,Lancer,front
ZAZ,1650,van,100,1.2,Gas,yes,2004,110557,front
BMW,17800,crossover,265,3.0,Diesel,yes,2005,X5,full
BMW,17500,vagon,125,3.0,Diesel,yes,2006,530,full
VAZ,4800,sedan,80,1.6,Petrol,yes,2011,2110,front
Citroen,3500,van,230,2.0,Diesel,yes,2003,Jumpy ����.,front
Hyundai,9550,crossover,138,2.0,Gas,yes,2007,Tucson,front
Hyundai,17999,crossover,39,2.0,Petrol,yes,2013,IX35,
Mercedes-Benz,13200,van,182,2.2,Diesel,yes,2011,Vito ����.,rear
Mercedes-Benz,13300,sedan,358,5.0,Gas,yes,2003,S 500,full
Audi,23500,crossover,119,4.2,Gas,yes,2007,Q7,full
Skoda,12200,sedan,137,1.2,Petrol,yes,2011,Octavia A5,front
Fiat,3100,hatch,179,1.4,Gas,yes,1992,Tipo,front
Mercedes-Benz,29000,crossover,139,3.5,Gas,yes,2009,ML 350,full
Daewoo,2999,sedan,225,2.0,Gas,yes,1998,Leganza,front
Lexus,87200,crossover,1,3.5,Petrol,yes,2016,RX 350,full
Toyota,22700,crossover,128,4.0,Gas,yes,2007,Land Cruiser Prado,full
Chevrolet,6800,van,140,4.3,Petrol,yes,2004,Astro ����.,rear
Mercedes-Benz,5800,van,368,2.2,Diesel,yes,2000,Vito ����.,front
Mazda,9300,sedan,178,2.0,Petrol,yes,2005,6,front
Hyundai,7500,sedan,100,1.4,Petrol,yes,2007,Accent,front
GAZ,3800,sedan,580,4.25,Gas,yes,1982,24,
Renault,6999,van,173,1.5,Diesel,yes,2006,Scenic,front
Infiniti,26400,crossover,130,3.5,Petrol,yes,2009,FX 35,full
Opel,12800,van,190,1.7,Diesel,yes,2011,Zafira,front
Hyundai,7500,sedan,150,3.3,Gas,yes,2006,Sonata,front
Skoda,16999,sedan,57,1.8,Petrol,yes,2013,Octavia A7,front
Audi,1950,sedan,320,19.0,Other,no,1996,A4,
Geely,10000,sedan,45,2.4,Petrol,yes,2014,Emgrand 8,front
Volkswagen,69990,van,1,5.0,Diesel,yes,2015,Multivan,full
BMW,28000,crossover,116,,Petrol,yes,2008,X5,full
BMW,9800,sedan,350,3.0,Diesel,yes,2001,530,rear
Ford,56900,other,1,2.3,Petrol,yes,2016,Mustang,rear
Moskvich-Izh,1111,van,1,,Gas,yes,2003,2117,
BMW,4000,sedan,335,2.0,Diesel,no,1999,320,rear
Citroen,4200,van,160,1.9,Diesel,yes,2005,Jumpy ����.,front
Mercedes-Benz,13900,sedan,216,2.2,Diesel,yes,2007,E-Class,rear
Land Rover,19999,crossover,106,4.4,Gas,yes,2005,Range Rover Sport,full
Toyota,14700,sedan,139,3.5,Petrol,yes,2008,Camry,front
Mitsubishi,9000,sedan,110,2.0,Petrol,yes,2008,Lancer X,front
Toyota,33715,crossover,1,2.7,Petrol,yes,2015,Land Cruiser Prado,full
Peugeot,9600,van,66,1.6,Diesel,yes,2014,Partner ����.,front
Chevrolet,10500,sedan,67,1.8,Petrol,yes,2011,Cruze,front
VAZ,1950,other,25,1.5,Gas,yes,1998,2109,front
Toyota,23400,crossover,120,4.0,Petrol,yes,2007,Land Cruiser Prado,full
Honda,15300,sedan,46,1.8,Petrol,yes,2013,Civic,front
Hyundai,16300,crossover,125,2.7,Gas,yes,2007,Santa FE,full
